Nama Pengguna,Status Pengguna,Bintang 2,Bintang 3,Bintang 4,Bintang 5,Waktu Ulasan,Ulasan
iin Kurniaty,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,setahun lalu,"Tempat makan bakso n pangsit favorit dari jaman SMF, pangsit jawa yg enak banget, kalo gak suka pedas pesan bakso keju + bakso rudal (bakso besar isi daging cincang n keju), kalo doyan pedas bakso merconnya mantap bangett. Modal 10rb udah makan pangsit atau bakso, kalo porsi kuli kelaparan aku pesan pangsit+bakso keji+ bakso rudal harga 20rb."
Yulisa Fatmadhany,,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,8 bulan lalu,Tempat nya ok mudah terjangkau dan bersih. Yg pasti menu bakso nya banyak varian dan recommended
Alyan Mulya,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,6 bulan lalu,"Jelek pelayanannya, lama skali menunggu. nda natau yang mana duluan datang, asal bawakan makananji. Diperbaiki lah sistem pelayanannya supaya yang duluan datang, duluan dilayani"
Khadafy Rizal,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,4 bulan lalu,Murah dan enak. Cocok untuk anak sekolahan dan mahasiswa
Pally Begins,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,sebulan lalu,Ketika dagangan itu laris. Pelayanan akan menurun.
Masak info,,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,setahun lalu,"Hari ini saya makan di t4 ini, sangat mengecewakan mie nya busuk. Sy kerja di Restaurant kualitas mkanan itu point penting!! Sy sudah komplain, katanya kena panas gt. Eh sebelum disajikan tdk diperiksa dong kualitasnya? Mie kan cmpur sm kuah bakso, klo org skit perut gmna. Mohon jgn terjadi lagi"
Armin Mahmud,,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,9 bulan lalu,"Perbaiki kinerja dong, duluan datang dari yg lain terakhir di buat kan pesanan nya, biasa salah bawa lagi, ampun lah anjirr"
Andi Sitti Nur Fatimah Madaeng,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,11 bulan lalu,"Warungnya bersih dan menunya bervariatif, bagi penggemar keju sangat cocok mampir di tempat ini."
Zul Fikar,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,setahun lalu,"Warung bakso andalan ini, kalau soal rasa tidak diragukan lagi, enakkkk poolll
Wajib di coba pasti bikin ketagihan,lokasi yang strategis"
Rezz,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,setahun lalu,"Bakso kejunya mantap , apalagi didepannya ada penjual minuman alpukat kocok , rasanya jg nikmat dan murah"
ahmad noor,,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,2 tahun lalu,"Enak...cuuumaaannnnn.....
1.lomboknya murahan ndak ada rasanya
2.pangsitnya bisa aja
3.kadang krupuknya gratis kadang ngak...payah!!"
Hasmunandar,,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,2 bulan lalu,Enak pilihan menu juga banyak
Amanda Poppy,,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,9 bulan lalu,"Tidak ada sambel tumisnya, tapi murah dan baksonya enak👍🏻 …"
Faruq M M,,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,setahun lalu,"Tempatnya bagus, tempat duduknya banyak, bakso nya juga enak, pelayanannya cepat, pelayan nya juga ramah"
Moh Nurisno Kurniawan,,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,3 bulan lalu,Baksonya enak
Azhar MZ,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,4 tahun lalu,"Warung bakso dengan harga yang sangat merakyat sangat cocok dengan kantong mahasiswa dari segi rasa juga mantap setiap hari banyak pelanggan yang datang ke sini khususnya mahasiswa.

Tempat ini Pokoknya cocok deh untuk pilihan makan siang kalangan mahasiswa ataupun pekerja"
anto rocka,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,4 minggu lalu,Kebersihannya harus diperhatkan
Reza Adinegara,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,setahun lalu,Di dalam baksonya jelas keliatan dagingnya. Tidak dihaluskan seperti bakso biasanya. Jadi itu yang membuat rasa baksonya jadi enak.
Herry Cahyana,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,2 tahun lalu,"Baksonya, rasa dagingnya cukup kuat.
Cobain bakso kejunya, krn ga cuma keju didalamnya tapi ada campuran daging gilingnya.
Tahu isi baksonya juga enak, ga asin tahunya"
MUH IRFAN. A,,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,4 bulan lalu,Enak baksonya guys merapat ki
Dony Rizqy Pradana,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,setahun lalu,"Menu nya tidak mahal, rasa baksonya enak. Tempat nyaman, mudah untuk kesini karena terletak dipinggir jalan."
widyastuti setyaningsih,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,setahun lalu,Bakso langgananku dekat rumah pula. Kuahnya bening tidak berminyak. Segar rasanya...
eko nugroho,,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,setahun lalu,"Makanannya enak, cuman kekurangannya kapasitas tempat dan parkirnya masih perlu ditambah"
ilham yusuf,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,3 tahun lalu,Habis makan disini sama teman seperti mau  tambah lagi. Enak banget pokoknya. Ada lontongnya jg klo datang di siang hari. Ada pangsit nya jg ternyata. Dan sama enaknya. Ada rasa khasnya gitu. Pokoknya weeeenakk gan. Klo lapar tambain lontong ajee gan. Pokoknya kenyaang deh
Sholeh Muzammil,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,3 tahun lalu,"Tmptny sngt bagus dn strategis di pinggir jln,karywny ramah2 tmptny bersih dan menuny sgt trjangkau untk gol.bawah,saran spy lbih banyk langgnan at kostumer agar di tingktkn sdm dan promony..wsslm smg sukses selalu ojol drever greb."
isa bella,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,setahun lalu,Ini salah satu penjual bakso favorit saya di Makassar. Bakso keju adalah yang terbaik.
Hasnia Adenia,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,setahun lalu,"Tempat selalu ramai di datangi para penikmat bakso dan pangsit,karena rasanya emang enak"
Omar Mohammad,,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,setahun lalu,"Dari dulu sampai sekarang. Tempat boleh berubah tapi rasa gak pernah berubah, tetap enak..."
Vipi Andayani,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,2 tahun lalu,"Gak nyangka nemu warung bakso enak banget endull pisan,ramenya minta ampun..pokonya kalau ada qi di Makassar jangan lupa singgah Boz"
Sri Hartati Burhan,,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,setahun lalu,"enak, pelayanannya ramah, bakso the best dari jaman SMA sih ini 🤤 …"
Siti Aminah Suwardy,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,8 bulan lalu,"Bakso kejunya mantap, bkin terngiang2🤤"
Syafriel UmRan,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,6 bulan lalu,Lumayan rasa baksonya
Rivan Hamzah,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,11 bulan lalu,Over all bagus...cuman tempatnya panas kurang kipas angin / ac
Koboican,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,7 bulan lalu,Mie ayam nya andalan... Baksonyaaa juga
abhy zhayn,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,setahun lalu,Bisa lah recommended buat perut yg lagi kosong dan lapar² nya
Oreki Houtarou,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,5 tahun lalu,"Baksonya enak, harga pas di dompet"
Erna Etha,,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,setahun lalu,"Menyediakan bakso beragam (keju,tennis,mercon,urat,dll) serta mie ayam"
Nurul Awaliah Arwing,Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,setahun lalu,"Bakso enak, harga ramah kantong & pelayanan bagus. Kebersihan perlu ditingkatkan."
Mister Production (Mister Makassar),Local Guide,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png,4 tahun lalu,Ini adalah salah satu tempat Makan Bakso yang Enak dijalan Ini yang menyediakan Bakso Keju. Bagi saya ini terbaik kedua. Tapi sangat bagus dan Luas kok.
